Optimizer,w1,w2,Train MSE,Test MSE,Test RMSE,Test R2,Conv. Epoch,#Updates,Trajectory
BGD,0.39047483943122646,-1.2351697975364804,54.85327042964706,59.42102175700578,7.70850321119514,-0.10516927683181154,N/A,100,"smooth, direct descent"
MBGD,-0.6971809746330466,-0.16661657250152095,19.00221435941377,14.9387825239819,3.865072124033638,0.7221541637858111,32,2000,mildly noisy path
Momentum GD,-0.7045386831090291,-0.16063763746799145,19.00314150128903,14.934273250637014,3.8644887437586117,0.7222380315856949,43,100,"smooth, direct descent"
SGD,-0.6391744430644899,-0.09530827335113179,19.999318176448416,14.35170939999549,3.7883650035332512,0.7330731140276413,79,31800,noisy / oscillatory path
SGD with Momentum,-0.6686502590280591,0.09555055374979127,24.24510579674017,17.884891505983642,4.229053263554817,0.6673595972026021,N/A,31800,noisy / oscillatory path
NAG,-0.7075160284966022,-0.16122732984391105,19.002866439779215,14.980371004146031,3.870448424168191,0.7213806612577751,45,100,"smooth, direct descent"
Nesterov SGD,-0.6556888439643711,0.05134486794093732,23.09967093191794,16.70444193637493,4.087106792876218,0.6893147329206625,N/A,31800,noisy / oscillatory path
AdaGrad,0.8075870966880374,-1.4558371795148883,81.84340501869336,82.034125658896,9.057269216430303,-0.5257495184233008,N/A,2000,mildly noisy path
RMSProp,-0.6854864056372681,-0.15373454091005564,19.049910115260307,14.64179992347959,3.8264604954813777,0.727677731643176,21,2000,noisy / oscillatory path
