loss_fn,loss_value,grad_norm,contributing_samples,batch_size
MSE,2.5731067657470703,4.2114138866212185,64,64
MedSE,2.5736093521118164,8.045244946093337,1,64
T-MSE,2.5451760292053223,4.1099847010344135,58,64
