tag,loss_fn,batch_size,epoch,train_loss,train_acc,test_loss,test_acc,grad_norm,noise_level
input10,MSE,64,1,0.8868199127494909,37.43,0.6892189346253872,55.0,0.9540555034703859,0.1
input10,MSE,64,2,0.5397438275965916,70.03,0.41710686031728983,79.25,1.266179451571407,0.1
input10,MSE,64,3,0.37529441163798044,81.48,0.3499346049502492,80.3,1.7799893804400138,0.1
input10,MSE,64,4,0.3125855637014292,84.6,0.32312047109007835,83.05,1.9610427654672498,0.1
input10,MSE,64,5,0.27794273207142095,86.63,0.28377587208524346,85.7,2.0165283994386094,0.1
input10,MedSE,64,1,0.9361354230315821,26.72,0.7688478622585535,50.95,4.296577528559854,0.1
input10,MedSE,64,2,0.7653720071361323,43.78,0.7004061806946993,46.75,5.627599282797561,0.1
input10,MedSE,64,3,0.6297092061893196,50.7,0.6558138430118561,49.35,6.861992380552908,0.1
input10,MedSE,64,4,0.4750817191733676,56.29,0.2742356301750988,62.0,6.333318880441763,0.1
input10,MedSE,64,5,0.25510363052984714,61.97,0.18287799158133566,64.35,6.923544924183332,0.1
input10,T-MSE,64,1,0.8641741454221641,37.57,0.626598484814167,59.8,1.0356067162805642,0.1
input10,T-MSE,64,2,0.45332977621798304,70.51,0.3390476400963962,77.2,1.3990139792440084,0.1
input10,T-MSE,64,3,0.3077116693091241,77.1,0.29031432466581464,76.45,1.7950430554216579,0.1
input10,T-MSE,64,4,0.2581559106422837,79.03,0.25487892515957355,79.35,1.9691405782166655,0.1
input10,T-MSE,64,5,0.22835360059312954,80.79,0.21631932724267244,80.75,1.9242341337770734,0.1
input20,MSE,64,1,0.8869832849046987,37.34,0.6901851389557123,54.7,0.9521957068895016,0.2
input20,MSE,64,2,0.5402824679377732,69.94,0.41749395430088043,79.3,1.2665972726201398,0.2
input20,MSE,64,3,0.37545127663642736,81.51,0.3491897704079747,80.55,1.7815281521223252,0.2
input20,MSE,64,4,0.3125664176075322,84.53,0.3235504515469074,83.0,1.9574943511153662,0.2
input20,MSE,64,5,0.2780109284220228,86.77,0.28246952686458826,85.8,2.019650182813774,0.2
input20,MedSE,64,1,0.9315946527347443,28.08,0.7983797769993544,41.2,4.326398873227186,0.2
input20,MedSE,64,2,0.7872176181738544,42.53,0.7037416268140078,47.0,5.014672388278755,0.2
input20,MedSE,64,3,0.6926640150653329,48.62,0.6073141172528267,50.45,6.131798866304266,0.2
input20,MedSE,64,4,0.5758571910440542,51.97,0.5578365060500801,52.1,6.1704524218783945,0.2
input20,MedSE,64,5,0.5074021330304966,54.05,0.46390649769455194,53.9,6.27971303205626,0.2
input20,T-MSE,64,1,0.8647394594113538,37.55,0.6284217424690723,59.8,1.0329480757795184,0.2
input20,T-MSE,64,2,0.4539955906617414,70.5,0.3391691967844963,77.15,1.39993387436551,0.2
input20,T-MSE,64,3,0.3078049685165381,77.04,0.28905419167131186,76.75,1.794413075542085,0.2
input20,T-MSE,64,4,0.2582775120902213,79.02,0.2554902674164623,79.2,1.971006227707425,0.2
input20,T-MSE,64,5,0.22839236857405135,80.77,0.2148187062703073,80.8,1.9233973244454452,0.2
