tag,loss_fn,batch_size,epoch,train_loss,train_acc,test_loss,test_acc,grad_norm,noise_level
label10,MSE,64,1,0.9157384053157394,33.13,0.7411874737590551,49.65,0.894866908356032,0.1
label10,MSE,64,2,0.6558466656192853,59.05,0.47659851983189583,77.0,1.0904905260176343,0.1
label10,MSE,64,3,0.5142627512193789,71.68,0.3785137999802828,79.8,1.5188293217068394,0.1
label10,MSE,64,4,0.45491757666229443,75.41,0.34124582819640636,82.15,1.7185408842718601,0.1
label10,MSE,64,5,0.424234753581369,77.48,0.2936705988831818,85.7,1.8129862884005357,0.1
label10,MedSE,64,1,0.9541565734110061,22.08,0.8254498038440943,26.45,3.973436575657267,0.1
label10,MedSE,64,2,0.8214512828049386,37.29,0.70143554918468,54.45,4.517432249550831,0.1
label10,MedSE,64,3,0.7223562609617877,46.41,0.7322417497634888,44.05,5.95876828906871,0.1
label10,MedSE,64,4,0.6311401519805763,51.18,0.43796677561476827,59.85,6.722128070590614,0.1
label10,MedSE,64,5,0.4882947043248802,54.73,0.3275921067688614,60.55,6.951595296484976,0.1
label10,T-MSE,64,1,0.8973349120206894,32.57,0.6973459739238024,53.2,0.9617870982031653,0.1
label10,T-MSE,64,2,0.5661970483269662,60.59,0.3788949893787503,75.95,1.2403607951665088,0.1
label10,T-MSE,64,3,0.40183557142877274,70.73,0.2931057699024677,78.65,1.7279859640106363,0.1
label10,T-MSE,64,4,0.32937516139191425,75.34,0.22993177454918623,84.0,1.9960061874876691,0.1
label10,T-MSE,64,5,0.2891557307759668,77.34,0.20635132864117622,85.25,1.9951714833992416,0.1
label20,MSE,64,1,0.9378528686086084,29.53,0.7831730525940657,46.85,0.8404084820301139,0.2
label20,MSE,64,2,0.7462839594312535,48.87,0.5582532966509461,72.45,0.8884519005171244,0.2
label20,MSE,64,3,0.6362713806948085,62.38,0.43790464010089636,78.8,1.2652780069878748,0.2
label20,MSE,64,4,0.5829958454438835,66.09,0.3785149063915014,80.8,1.5389402645129693,0.2
label20,MSE,64,5,0.555975799537768,68.17,0.33563620690256357,84.75,1.652152587161422,0.2
label20,MedSE,64,1,0.9612188760642033,21.78,0.8340799044817686,38.25,3.8221524217085814,0.2
label20,MedSE,64,2,0.8465442460054046,32.65,0.7553098015487194,42.4,4.130613854039178,0.2
label20,MedSE,64,3,0.8023352493905718,40.73,0.6568841654807329,57.2,4.663918643323237,0.2
label20,MedSE,64,4,0.7643524446305195,44.67,0.5711873257532716,57.45,5.20152309818945,0.2
label20,MedSE,64,5,0.7126097861368945,47.47,0.45406753942370415,62.45,5.408952960994679,0.2
label20,T-MSE,64,1,0.9205491687082181,28.41,0.7460970245301723,48.35,0.8996347496178919,0.2
label20,T-MSE,64,2,0.6651249562099482,51.12,0.44281879905611277,74.5,1.0579572491894618,0.2
label20,T-MSE,64,3,0.5141379580755902,62.81,0.32449942734092474,80.3,1.5365183076276687,0.2
label20,T-MSE,64,4,0.4527318122660279,66.9,0.26402652356773615,82.45,1.8725854934117305,0.2
label20,T-MSE,64,5,0.4195983688922445,68.63,0.235671853646636,85.0,1.9439782701243844,0.2
