case,test_loss,test_acc,l2_norm
Case 1: baseline,2.3668424874750005,0.37881059470264866,15.840262289068479
Case 2: L2 (lambda=0.001),2.5123319636453343,0.3410794602698651,13.457055001242924
Case 3: input noise (sigma=0.1),2.3707073031742514,0.3808095952023988,15.801056011886915
Case 4: label noise (10%),2.4345064798639284,0.39580209895052476,15.140842945272517
Case 5: early stopping,2.3668424874750005,0.37881059470264866,15.840262289068479
Case 6: ensemble (avg of 3),2.410955927755816,0.4540229885057471,26.3047386402309
Case 7: dropout (0.5 / 0.2),2.7064074307866797,0.3073463268365817,12.850705085902955
