Source IP           Destination IP      Source Port    Destination Port    HTTP Request / Response                 
===================================================================================================================
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/views_nivo_slider/styles/default/custom-nivo-slider.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/css/style.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/css/typography.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/css/superfish.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/css/superfish-navbar.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/css/superfish-vertical.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/acquia_prosper/css/acquia-prosper-style.css?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/acquia_prosper/design_packs/gray/gray.css?Y HTTP/1.1 
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/jquery_update/replace/jquery.min.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /misc/drupal.js?Y HTTP/1.1          
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/modules/dhtml_menu/dhtml_menu.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
