setting,layer,mean,std,max,fraction_zero,fraction_finite
No BN,1,0.0,0.0,0.0,1.0,0.59375
No BN,3,,,,,0.0
No BN,5,,,,,0.0
BN,1,0.4770519733428955,0.6941456198692322,5.730679512023926,0.4583740234375,1.0
BN,3,0.432306170463562,0.6516792178153992,5.41624116897583,0.47027587890625,1.0
BN,5,0.14474281668663025,0.2926315665245056,2.5350136756896973,0.641845703125,1.0
