setting,layer,mean,std,max,fraction_zero,fraction_finite
No BN,1,12.48604965209961,17.91927146911621,132.88995361328125,0.4765625,1.0
No BN,3,537.9407958984375,927.359130859375,7062.876953125,0.5814208984375,1.0
No BN,5,42823.4609375,59381.66796875,391179.125,0.46795654296875,1.0
