run,init,bn,epoch,train_loss,val_loss,train_acc,val_acc,grad_norm_layer1,grad_norm_layer5
1,Zero,False,1,2.3014174368823017,2.3021501178741457,11.262962962962963,10.5,0.0,0.0
1,Zero,False,2,2.301388370160703,2.302116319656372,11.318518518518518,10.5,0.0,0.0
1,Zero,False,3,2.301351538128323,2.3019408124287923,11.318518518518518,10.5,0.0,0.0
1,Zero,False,4,2.30131594297621,2.3020691000620523,11.318518518518518,10.5,0.0,0.0
1,Zero,False,5,2.3013323675084996,2.3020497709910073,11.318518518518518,10.5,0.0,0.0
1,Zero,False,6,2.301277412131981,2.3021816749572754,11.318518518518518,10.5,0.0,0.0
1,Zero,False,7,2.3012790063928676,2.3019644718170165,11.318518518518518,10.5,0.0,0.0
1,Zero,False,8,2.3013095715840657,2.301928691228231,11.318518518518518,10.5,0.0,0.0
1,Zero,False,9,2.30132635307312,2.3017288208007813,11.318518518518518,10.5,0.0,0.0
1,Zero,False,10,2.301285038912738,2.302138194402059,11.318518518518518,10.5,0.0,0.0
2,Small,False,1,2.3015845485969826,2.301777338663737,11.244444444444444,10.5,7.875663868617266e-06,9.37431468628347e-06
2,Small,False,2,2.3013044716163917,2.3019853407541913,11.318518518518518,10.5,7.681722308916505e-06,1.0680706509447191e-05
2,Small,False,3,2.3013093794363515,2.302170595169067,11.318518518518518,10.5,8.49694333737716e-06,1.0827446203620639e-05
2,Small,False,4,2.3013172026033755,2.301712968190511,11.318518518518518,10.5,8.414808689849451e-06,1.0921716238954104e-05
2,Small,False,5,2.3013048573953134,2.3023998273213704,11.318518518518518,10.5,7.4839676926785614e-06,9.466757546761073e-06
2,Small,False,6,2.30135249653569,2.3019739004770914,11.318518518518518,10.5,8.50356536830077e-06,9.056698218046222e-06
2,Small,False,7,2.3013132036703605,2.3021427084604897,11.318518518518518,10.5,8.186701052181888e-06,8.469173735647928e-06
2,Small,False,8,2.301320132644088,2.3019815413157145,11.318518518518518,10.5,7.638344868610147e-06,9.405659511685371e-06
2,Small,False,9,2.3013199936902082,2.301943142573039,11.318518518518518,10.5,8.352297300007194e-06,1.0569472578936256e-05
2,Small,False,10,2.3012858020641187,2.302166609446208,11.318518518518518,10.5,8.387866728298832e-06,1.281815639231354e-05
3,Xavier,False,1,0.40561796138021683,0.14207461376984915,87.20185185185186,95.91666666666667,0.8384226560592651,0.44026103615760803
3,Xavier,False,2,0.13254254523913064,0.09436879237492879,95.94814814814815,97.28333333333333,0.611285924911499,0.2120085507631302
3,Xavier,False,3,0.09286621219582028,0.1004475535551707,97.11481481481482,97.06666666666666,1.013685941696167,0.42017990350723267
3,Xavier,False,4,0.0689793247823362,0.08668329136570295,97.88518518518518,97.41666666666667,0.8932550549507141,0.32056137919425964
3,Xavier,False,5,0.05418263958008201,0.08917621912558873,98.32222222222222,97.4,0.7948006391525269,0.2866858243942261
3,Xavier,False,6,0.044733078984198746,0.08766446029643218,98.61111111111111,97.63333333333334,1.2912800312042236,0.3617807924747467
3,Xavier,False,7,0.03607603099197149,0.07995165280501047,98.80925925925926,97.9,0.4692111015319824,0.15549147129058838
3,Xavier,False,8,0.027894396313224677,0.08466024553775787,99.0962962962963,97.71666666666667,0.07130248099565506,0.021100392565131187
3,Xavier,False,9,0.02115002189507639,0.08517390082776546,99.3425925925926,97.81666666666666,1.4172077178955078,0.4066467583179474
3,Xavier,False,10,0.019191462268294008,0.09090712417165438,99.35925925925926,97.81666666666666,1.5398716926574707,0.3750954568386078
4,He,False,1,0.3331505792714931,0.13103088609377544,89.53703703703704,96.03333333333333,0.9513781070709229,0.3904549777507782
4,He,False,2,0.1260217010864505,0.09529891363779704,96.16666666666667,97.18333333333334,0.7348645329475403,0.2871157228946686
4,He,False,3,0.08922051144529272,0.08548301717638969,97.18888888888888,97.31666666666666,1.2903664112091064,0.4422600567340851
4,He,False,4,0.06634432333266294,0.09926652326186498,97.86666666666666,97.26666666666667,0.8524855375289917,0.2712039649486542
4,He,False,5,0.05176765109653826,0.08221633499860763,98.33703703703704,97.75,1.0253751277923584,0.28347137570381165
4,He,False,6,0.044188344303104615,0.08158642011508345,98.55555555555556,97.88333333333334,1.458489179611206,0.5148463249206543
4,He,False,7,0.031506183705948015,0.08507176864147187,98.93888888888888,97.86666666666666,0.21995240449905396,0.07636440545320511
4,He,False,8,0.02483692784552221,0.09038313748935858,99.21111111111111,97.8,0.5532251596450806,0.19695346057415009
4,He,False,9,0.020195794148301638,0.09782727155586084,99.31851851851852,97.63333333333334,0.6059300303459167,0.20879405736923218
4,He,False,10,0.017291327833439465,0.09426057144378622,99.44814814814815,97.63333333333334,0.9563907980918884,0.18727511167526245
5,Large,False,1,,,9.857407407407408,9.783333333333333,,
5,Large,False,2,,,9.881481481481481,9.783333333333333,,
5,Large,False,3,,,9.881481481481481,9.783333333333333,,
5,Large,False,4,,,9.881481481481481,9.783333333333333,,
5,Large,False,5,,,9.881481481481481,9.783333333333333,,
5,Large,False,6,,,9.881481481481481,9.783333333333333,,
5,Large,False,7,,,9.881481481481481,9.783333333333333,,
5,Large,False,8,,,9.881481481481481,9.783333333333333,,
5,Large,False,9,,,9.881481481481481,9.783333333333333,,
5,Large,False,10,,,9.881481481481481,9.783333333333333,,
6,Small,True,1,0.2972244226358555,0.10812989177306494,91.73148148148148,96.85,1.4296537637710571,0.4751034677028656
6,Small,True,2,0.11063244763347838,0.08319024902582169,96.81111111111112,97.5,1.0254496335983276,0.25048524141311646
6,Small,True,3,0.07963542278607687,0.0673148986697197,97.62037037037037,98.23333333333333,1.4090803861618042,0.3909132182598114
6,Small,True,4,0.06179434649591093,0.07092629035313924,98.14814814814815,98.05,0.8950265049934387,0.28042393922805786
6,Small,True,5,0.04941136640531046,0.06676176795363427,98.50185185185185,98.18333333333334,0.6461292505264282,0.19291163980960846
6,Small,True,6,0.0397828321799084,0.05763059569398562,98.78888888888889,98.61666666666666,1.1363999843597412,0.3638950288295746
6,Small,True,7,0.03576547956908191,0.06314797380069892,98.8537037037037,98.25,0.9827439188957214,0.2969478964805603
6,Small,True,8,0.029196411755349903,0.06313864252219598,99.0962962962963,98.08333333333333,0.6085337400436401,0.1428699791431427
6,Small,True,9,0.025198205272908565,0.06157308001071215,99.21851851851852,98.36666666666666,0.5494024753570557,0.1393260657787323
6,Small,True,10,0.022363823486354063,0.060594427466392514,99.2611111111111,98.28333333333333,0.3680129051208496,0.08304665982723236
7,He,True,1,0.35604190111601797,0.12231528540452322,89.45370370370371,96.5,0.8450432419776917,0.1811237335205078
7,He,True,2,0.12363749829045048,0.09707990713914236,96.25,97.26666666666667,0.4178798198699951,0.10561706125736237
7,He,True,3,0.08301193427598035,0.08853419856230418,97.48703703703704,97.4,0.8323227763175964,0.19972653687000275
7,He,True,4,0.059495874460096715,0.07916791671514511,98.22222222222223,97.76666666666667,1.2524305582046509,0.22281679511070251
7,He,True,5,0.04567794867411808,0.0810044741431872,98.6,97.6,0.22831875085830688,0.0515781044960022
7,He,True,6,0.03509474412710578,0.07705925311644872,98.91851851851852,97.88333333333334,0.9563182592391968,0.17056848108768463
7,He,True,7,0.028840208648531526,0.07979923168321451,99.1037037037037,97.68333333333334,0.6634560823440552,0.12306185811758041
7,He,True,8,0.02234631387944575,0.07520987960199516,99.38148148148149,97.98333333333333,0.9258419871330261,0.14352986216545105
7,He,True,9,0.019738981826437844,0.08448019233345985,99.4037037037037,97.96666666666667,1.1837821006774902,0.19565433263778687
7,He,True,10,0.016019775111918096,0.08180188199877739,99.5537037037037,98.0,1.3157228231430054,0.21473246812820435
8,Large,True,1,1.782979916325322,0.6442788152694702,62.01111111111111,79.43333333333334,0.3078603148460388,0.1558646708726883
8,Large,True,2,0.6538822191379688,0.46861821444829305,79.12037037037037,85.05,0.22763220965862274,0.11615993827581406
8,Large,True,3,0.5250185179180569,0.3930526176293691,83.4962962962963,87.75,0.1857663244009018,0.1085524633526802
8,Large,True,4,0.4539032863422676,0.34317559123039243,85.77037037037037,89.5,0.16759875416755676,0.09444872289896011
8,Large,True,5,0.4132041164769067,0.316033895889918,86.93888888888888,90.26666666666667,0.1751144677400589,0.09325945377349854
8,Large,True,6,0.37580977371003893,0.292814616839091,88.23703703703704,90.91666666666667,0.21527571976184845,0.13149411976337433
8,Large,True,7,0.3509271768508134,0.2748407556215922,88.88518518518518,91.35,0.13671042025089264,0.07605689764022827
8,Large,True,8,0.32757049585271764,0.2616159148216248,89.68148148148148,91.85,0.14181263744831085,0.07807771861553192
8,Large,True,9,0.31034666363398233,0.2473933827082316,90.38518518518518,92.31666666666666,0.11908534169197083,0.07417263835668564
8,Large,True,10,0.2929187222233525,0.23761628198623658,90.80555555555556,92.63333333333334,0.16083644330501556,0.0975026860833168
