1 2 2
2 2.5 1.9
3 2.9 1.81
4 3.24483 1.729
5 3.55301 1.6561
6 3.83446 1.59049
7 4.09525 1.53144
8 4.33944 1.4783
9 4.56988 1.43047
10 4.78871 1.38742
11 4.99753 1.34868
12 5.19763 1.31381
13 5.39003 1.28243
14 5.57555 1.25419
15 5.75491 1.22877
16 5.92867 1.20589
17 6.09735 1.1853
18 6.26135 1.16677
19 6.42106 1.15009
20 6.5768 1.13509
21 3.2884 1
22 3.5925 2
23 3.87086 1.90675
24 4.1292 1.82283
25 4.37138 1.7473
26 4.60014 1.67933
27 4.81752 1.61815
28 5.0251 1.56309
29 5.2241 1.51353
30 5.41552 1.46893
31 5.60017 1.4288
32 5.77874 1.39267
33 5.95179 1.36016
34 6.1198 1.3309
35 6.28321 1.30456
36 6.44236 1.28086
37 6.59758 1.25953
38 6.74916 1.24033
39 6.89732 1.22305
40 7.04231 1.2075
41 7.1843 1.1935
42 7.3235 1.18091
43 7.46004 1.16957
44 7.59409 1.15937
45 7.72577 2.15937
46 7.85521 2.05019
47 7.98251 1.95192
48 8.10779 1.86348
49 8.23113 1.78389
50 8.35262 1.71225
51 8.47234 1.64778
52 8.59037 1.58976
53 8.70678 1.53754
54 8.82163 1.49054
55 8.93499 1.44824
56 9.04691 1.41017
57 9.15744 1.37591
58 4.57872 1
59 4.79712 1.0188
60 5.00558 1.03571
61 5.20536 1.05094
62 5.39747 1.06464
63 5.58274 1.07697
64 5.76186 1.08807
65 5.93542 2.08807
66 6.1039 1.99806
67 6.26773 1.91705
68 6.42728 1.84414
69 6.58286 1.77852
70 6.73477 1.71946
71 6.88326 1.66631
72 3.44163 1
73 3.73219 1.03332
74 4.00013 1.0633
75 4.25012 1.09029
76 4.48541 1.11457
77 4.70835 1.13643
78 4.92074 1.1561
79 5.12396 1.17381
80 5.31912 1.18974
81 5.50712 1.20408
82 5.68871 1.21699
83 5.86449 1.22861
84 6.03501 1.23906
85 6.20071 2.23906
86 6.36198 2.14847
87 6.51917 2.06694
88 6.67256 1.99356
89 6.82243 1.92752
90 6.969 1.86808
91 7.1125 1.81459
92 7.25309 1.76645
93 7.39097 1.72312
94 7.52627 1.68412
95 7.65913 1.64903
96 7.7897 1.61744
97 7.91807 1.58901
98 8.04437 1.56342
99 8.16868 1.5404
100 8.2911 1.51967
101 8.41171 1.50102
102 8.53059 1.48424
103 8.64781 1.46913
104 8.76345 1.45553
105 8.87756 1.44329
106 8.9902 1.43228
107 9.10144 2.43228
108 9.21131 2.32237
109 9.31987 2.22345
110 9.42717 2.13442
111 9.53324 2.05429
112 9.63814 1.98218
113 9.7419 1.91727
114 9.84454 1.85886
115 9.94612 1.80629
116 10.0467 1.75898
117 10.1462 1.7164
118 10.2448 1.67807
119 10.3424 1.64358
120 10.4391 1.61254
121 10.5349 1.5846
122 10.6298 1.55946
123 10.7239 1.53683
124 10.8171 1.51646
125 10.9095 1.49813
126 11.0012 1.48163
127 11.0921 1.46678
128 11.1823 1.45342
129 11.2717 1.44139
130 11.3604 1.43057
131 11.4484 2.43057
132 11.5358 2.32083
133 11.6225 2.22206
134 11.7085 2.13317
135 11.7939 2.05317
136 11.8787 1.98117
137 11.9629 1.91637
138 12.0465 1.85805
139 12.1295 1.80556
140 12.2119 1.75832
141 12.2938 1.7158
